,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
82,485094,59,0.327471099,19.32079482,2.515353237,0.327471099,,,,
83,485095,58,0,0,0,0,,,,
84,485096,58,3.137963572,182.0018872,6.059000904,0.795585795,,,,
85,485097,59,0.681139885,40.18725322,2.947522679,0.383734768,,,,
86,485098,58,0,0,0,0,,,,
87,485099,59,0,0,0,0,,,,
88,485100,58,0.233182006,13.52455637,1.228240162,0.161275834,,,,
89,485101,59,0,0,0,0,,,,
90,485102,58,0,0,0,0,,,,
91,485103,58,0,0,0,0,,,,
92,485104,59,0,0,0,0,,,,
93,485105,58,0,0,0,0,,,,
94,485106,59,0,0,0,0,,,,
95,485107,58,0.239844349,13.91097227,1.13024859,0.148408911,,,,
96,485108,58,0,0,0,0,,,,
97,485109,59,0.890721388,52.55256191,2.433620786,0.31683044,,,,
98,485110,58,5.276575689,306.0413899,6.699394847,0.87967364,,,,
99,485111,59,2.947239888,173.8871534,4.824678227,0.628119604,,,,
100,485112,58,2.89145688,167.704499,5.054464515,0.663683705,,,,
101,485113,59,4.040993357,238.4186081,5.926390462,0.77155032,,,,
102,485114,58,4.09734097,237.6457763,5.82348999,0.764661697,,,,
103,485115,58,3.804197877,220.6434768,6.432994206,0.844693522,,,,
104,485116,59,3.071678905,181.2290554,6.117109102,0.796379772,,,,
105,485117,58,2.565002071,148.7701201,5.4265985,0.712547292,,,,
106,485118,59,0,0,0,0,,,,
107,485119,58,0,0,0,0,,,,
108,485120,58,1.745533877,101.2409649,5.290965759,0.69473784,,,,
109,485121,59,0,0,0,0,,,,
110,485122,58,0.386415896,22.41212199,1.46920082,0.192915519,,,,
111,485123,59,0,0,0,0,,,,
112,485124,58,0,0,0,0,,,,
113,485125,58,0,0,0,0,,,,
114,485126,59,0,0,0,0,,,,
115,485127,58,0,0,0,0,,,,
116,485128,59,0,0,0,0,,,,
117,485129,58,0,0,0,0,,,,
118,485130,58,0,0,0,0,,,,
119,485131,59,0.006549422,0.386415896,0.050307065,0.006549422,,,,
120,485132,58,0,0,0,0,,,,
121,485133,59,0,0,0,0,,,,
122,485134,58,2.678261903,155.3391903,3.919930558,0.514712099,,,,
123,485135,59,8.586292206,506.5912402,8.41533803,1.095583694,,,,
124,485136,58,2.131949773,123.6530868,5.440359763,0.714354234,,,,
125,485137,59,6.097511857,359.7531995,8.494808377,1.105929852,,,,
126,485138,58,8.74099407,506.9776561,8.352816537,1.096778544,,,,
127,485139,58,8.481162691,491.9074361,9.369366871,1.230258142,,,,
128,485140,59,6.863794227,404.9638594,9.204135592,1.198276389,,,,
129,485141,58,4.623666071,268.1726321,8.038013013,1.055442816,,,,
130,485142,58,0.879429281,51.00689832,3.626198007,0.476143125,,,,
131,485143,59,0,0,0,0,,,,
132,485144,58,4.663640129,270.4911275,6.85299061,0.899841751,,,,
133,485145,59,0,0,0,0,,,,
134,485146,58,3.177937631,184.3203826,5.78789087,0.759987304,,,,
135,485147,58,0,0,0,0,,,,
136,485148,59,0,0,0,0,,,,
137,485149,58,0,0,0,0,,,,
138,485150,58,0,0,0,0,,,,
139,485151,59,0,0,0,0,,,,
140,485152,58,0,0,0,0,,,,
141,485153,59,0,0,0,0,,,,
142,485154,58,0,0,0,0,,,,
143,485155,59,0,0,0,0,,,,
144,485156,58,3.217911689,186.638878,6.637656101,0.871566945,,,,
145,485157,11,0,0,0,0,,,,
