created_at,entry_id,field1,field2,field3,field4,,,,,,
2025-05-07T19:56:53-04:00,48,29,12.48154761,0.200073179,0.002580091,,,,,,
2025-05-07T19:57:54-04:00,49,29,12.48154761,0.20515411,1.65E-06,,,,,,
2025-05-07T19:58:56-04:00,50,29,12.48154761,0.205097405,3.76E-06,,,,,,
2025-05-07T19:59:57-04:00,51,28,12.05114942,0.201852241,0.000875699,,,,,,
2025-05-07T20:00:59-04:00,52,28,12.05114942,0.201916597,0.000873003,,,,,,
2025-05-07T20:02:52-04:00,53,3,1.291194581,0.023025992,0.000577508,,,,,,
2025-05-07T20:03:53-04:00,54,3,1.291194581,0.019577482,1.16E-05,,,,,,
2025-05-07T20:04:53-04:00,55,2,0.860796387,0.020189439,1.13E-05,,,,,,
2025-05-07T20:05:55-04:00,56,4,1.721592774,2.1462654,41.9930992,,,,,,
2025-05-07T20:06:57-04:00,57,4,1.721592774,2.147874271,42.15825087,,,,,,
2025-05-07T20:07:59-04:00,58,0,0,0,0,,,,,,
2025-05-07T20:10:56-04:00,59,2,0.860796387,0.019482422,0.000442774,,,,,,
2025-05-07T20:11:56-04:00,60,3,1.291194581,0.019329385,1.28E-05,,,,,,
2025-05-07T20:12:57-04:00,61,3,1.291194581,0.020120859,1.20E-05,,,,,,
2025-05-07T20:13:59-04:00,62,3,1.291194581,0.020608153,3.49E-06,,,,,,
2025-05-07T20:15:01-04:00,63,3,1.291194581,0.020623791,3.79E-07,,,,,,
2025-05-07T20:17:39-04:00,64,7,3.012787355,2.467018446,48.11302108,,,,,,
2025-05-07T20:18:42-04:00,65,6,2.582389161,1.424765143,26.81459392,,,,,,
2025-05-07T20:19:44-04:00,66,7,3.012787355,1.256605302,24.06871458,,,,,,
2025-05-07T20:21:17-04:00,67,5,2.151990968,0.036859735,0.000573419,,,,,,
2025-05-07T20:22:19-04:00,68,6,2.582389161,0.039326547,1.24E-05,,,,,,
2025-05-07T20:23:21-04:00,69,5,2.151990968,0.040068624,1.21E-05,,,,,,
2025-05-07T20:24:22-04:00,70,6,2.582389161,1.456268312,28.12953335,,,,,,
2025-05-07T20:25:23-04:00,71,6,2.582389161,0.04112589,2.38E-07,,,,,,
