,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
100,485112,58,0.147031399,8.527821128,0.223639967,0.029365366,,,,
101,485113,59,0.189952596,11.20720318,0.233241084,0.030365403,,,,
102,485114,58,0.206532493,11.97888461,0.250328617,0.032869758,,,,
103,485115,58,0.184735763,10.71467424,0.245588099,0.032247297,,,,
104,485116,59,0.132779064,7.833964762,0.222724011,0.028996196,,,,
105,485117,58,0.106815275,6.195285923,0.202681436,0.026613376,,,,
106,485118,59,0,0,0,0,,,,
107,485119,58,0,0,0,0,,,,
108,485120,58,0.063851616,3.703393742,0.166454452,0.02185654,,,,
109,485121,59,0,0,0,0,,,,
110,485122,58,0.023493053,1.362597074,0.087186894,0.0114482,,,,
111,485123,59,0,0,0,0,,,,
112,485124,58,0,0,0,0,,,,
113,485125,58,0,0,0,0,,,,
114,485126,59,0,0,0,0,,,,
115,485127,58,0,0,0,0,,,,
116,485128,59,0,0,0,0,,,,
117,485129,58,0,0,0,0,,,,
118,485130,58,0,0,0,0,,,,
119,485131,59,1.96E-07,1.16E-05,1.51E-06,1.96E-07,,,,
120,485132,58,0,0,0,0,,,,
121,485133,59,0,0,0,0,,,,
122,485134,58,0.177973611,10.32246942,0.222857296,0.029262597,,,,
123,485135,59,0.345396898,20.37841698,0.276824699,0.036039506,,,,
124,485136,58,0.091880597,5.329074597,0.191011183,0.025080997,,,,
125,485137,59,0.206077292,12.1585602,0.256329187,0.033371218,,,,
126,485138,58,0.317354285,18.40654853,0.267798327,0.035163643,,,,
127,485139,58,0.286962939,16.64385045,0.286130718,0.037570804,,,,
128,485140,59,0.225071272,13.27920502,0.287288164,0.037401733,,,,
129,485141,58,0.153115279,8.880686207,0.234916927,0.030846104,,,,
130,485142,58,0.04328667,2.510626861,0.143183848,0.01880096,,,,
131,485143,59,0,0,0,0,,,,
132,485144,58,0.177278625,10.28216025,0.225959381,0.02966992,,,,
133,485145,59,0,0,0,0,,,,
134,485146,58,0.12323888,7.147855061,0.201976055,0.026520755,,,,
135,485147,58,0,0,0,0,,,,
136,485148,59,0,0,0,0,,,,
137,485149,58,0,0,0,0,,,,
138,485150,58,0,0,0,0,,,,
139,485151,59,0,0,0,0,,,,
140,485152,58,0,0,0,0,,,,
141,485153,59,0,0,0,0,,,,
142,485154,58,0,0,0,0,,,,
143,485155,59,0,0,0,0,,,,
144,485156,58,0.112073841,6.500282794,0.210767057,0.02767507,,,,
145,485157,11,0,0,0,0,,,,
