,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
74,485086,58,0.28066946,16.27882865,0.160482608,0.021072399,,,,
75,485087,59,0.297114857,17.52977659,0.140862387,0.018338721,,,,
76,485088,58,0.297770392,17.27068275,0.151669702,0.019915208,,,,
77,485089,58,0.246450982,14.29415696,0.157366691,0.020663259,,,,
78,485090,59,0.250073618,14.75434345,0.122541034,0.015953484,,,,
79,485091,58,0.133739206,7.756873937,0.186319389,0.024464934,,,,
80,485092,59,0,0,0,0,,,,
81,485093,58,0.144355511,8.372619633,0.153952861,0.020215001,,,,
82,485094,59,0,0,0,0,,,,
83,485095,58,0,0,0,0,,,,
84,485096,58,0.092360452,5.356906224,0.148062881,0.019441609,,,,
85,485097,59,0.01852209,1.092803315,0.067154413,0.00874276,,,,
86,485098,58,0,0,0,0,,,,
87,485099,59,0,0,0,0,,,,
88,485100,58,0,0,0,0,,,,
89,485101,59,0,0,0,0,,,,
90,485102,58,0,0,0,0,,,,
91,485103,58,0,0,0,0,,,,
92,485104,59,0,0,0,0,,,,
93,485105,58,0,0,0,0,,,,
94,485106,59,0,0,0,0,,,,
95,485107,58,0,0,0,0,,,,
96,485108,59,0,0,0,0,,,,
97,485109,58,0.177719585,10.30773595,0.197622818,0.025949147,,,,
98,485110,58,0.338931175,19.65800815,0.154809479,0.02032748,,,,
99,485111,59,0.355364838,20.96652547,0.125796541,0.016377315,,,,
100,485112,58,0.308324044,17.88279453,0.161780242,0.021242787,,,,
101,485113,59,0.254108178,14.99238251,0.170332108,0.022175352,,,,
102,485114,58,0.210798111,12.22629045,0.187277217,0.024590703,,,,
103,485115,58,0,0,0,0,,,,
104,485116,59,0,0,0,0,,,,
105,485117,58,0.257013929,14.90680787,0.179113176,0.023518712,,,,
106,485118,59,0,0,0,0,,,,
107,485119,58,0.112200484,6.507628049,0.171870091,0.022567649,,,,
108,485120,58,0,0,0,0,,,,
109,485121,59,0,0,0,0,,,,
110,485122,58,6.52E-07,3.78E-05,4.97E-06,6.52E-07,,,,
111,485123,59,0,0,0,0,,,,
112,485124,58,0,0,0,0,,,,
113,485125,58,0,0,0,0,,,,
114,485126,59,0,0,0,0,,,,
115,485127,58,0,0,0,0,,,,
116,485128,59,0,0,0,0,,,,
117,485129,58,0,0,0,0,,,,
118,485130,58,0,0,0,0,,,,
119,485131,59,0,0,0,0,,,,
120,485132,58,0.007371034,0.427519964,0.039425525,0.005176825,,,,
121,485133,59,0,0,0,0,,,,
122,485134,58,0.281859788,16.34786771,0.202936497,0.026646868,,,,
123,485135,59,0.34286147,20.22882672,0.20477074,0.02665888,,,,
124,485136,58,0.366795337,21.27412952,0.203155297,0.026675597,,,,
125,485137,59,0.289651699,17.08945024,0.207076552,0.026959071,,,,
126,485138,58,0.310225401,17.99307328,0.188758986,0.024785269,,,,
127,485139,58,0.17769895,10.30653912,0.214448318,0.028158444,,,,
128,485140,59,0,0,0,0,,,,
129,485141,58,0,0,0,0,,,,
130,485142,59,0,0,0,0,,,,
131,485143,58,0.085528439,4.960649473,0.151615666,0.019908112,,,,
132,485144,58,0.084675537,4.911181136,0.161229657,0.021170491,,,,
133,485145,59,0.06253629,3.689641133,0.141744543,0.018453568,,,,
134,485146,58,0,0,0,0,,,,
135,485147,58,0,0,0,0,,,,
136,485148,59,0,0,0,0,,,,
137,485149,58,0,0,0,0,,,,
138,485150,59,0,0,0,0,,,,
139,485151,58,0,0,0,0,,,,
140,485152,58,0,0,0,0,,,,
141,485153,59,0,0,0,0,,,,
142,485154,58,0,0,0,0,,,,
143,485155,59,0,0,0,0,,,,
144,485156,58,0,0,0,0,,,,
145,485157,11,0,0,0,0,,,,
