,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,,
108,485120,58,0,0,0,0,,,,,
109,485121,59,0,0,0,0,,,,,
110,485122,58,0.006662343,0.386415896,0.050738893,0.006662343,,,,,
111,485123,59,0,0,0,0,,,,,
112,485124,58,0,0,0,0,,,,,
113,485125,58,0,0,0,0,,,,,
114,485126,59,0,0,0,0,,,,,
115,485127,58,0,0,0,0,,,,,
116,485128,59,0,0,0,0,,,,,
117,485129,58,0,0,0,0,,,,,
118,485130,58,0,0,0,0,,,,,
119,485131,59,0,0,0,0,,,,,
120,485132,58,0.053298744,3.091327171,0.293557205,0.038545949,,,,,
121,485133,59,0,0,0,0,,,,,
122,485134,58,11.29267145,654.9749444,9.546250472,1.253484097,,,,,
123,485135,59,13.36737025,788.6748445,9.428460126,1.227480956,,,,,
124,485136,58,13.85101118,803.3586486,9.702419036,1.273990034,,,,,
125,485137,59,11.73656418,692.4572863,9.628605242,1.253537631,,,,,
126,485138,58,12.62514006,732.2581237,8.841135719,1.160897994,,,,,
127,485139,58,6.235953087,361.685279,8.20428981,1.077276029,,,,,
128,485140,59,0,0,0,0,,,,,
129,485141,58,0,0,0,0,,,,,
130,485142,59,0,0,0,0,,,,,
131,485143,58,3.237898718,187.7981256,6.419144577,0.842874976,,,,,
132,485144,58,2.931430938,170.0229944,6.006003957,0.788626955,,,,,
133,485145,59,2.213704627,130.608573,5.42969243,0.706885744,,,,,
134,485146,58,0,0,0,0,,,,,
135,485147,58,0,0,0,0,,,,,
136,485148,59,0,0,0,0,,,,,
137,485149,58,0,0,0,0,,,,,
138,485150,59,0,0,0,0,,,,,
139,485151,58,0,0,0,0,,,,,
140,485152,58,0,0,0,0,,,,,
141,485153,59,0,0,0,0,,,,,
142,485154,58,0,0,0,0,,,,,
143,485155,59,0,0,0,0,,,,,
144,485156,58,0,0,0,0,,,,,
145,485157,11,0,0,0,0,,,,,
