,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
52,485064,59,0,0,0,0,,,,
53,485065,58,6.235953087,361.685279,6.333122191,0.831579684,,,,
54,485066,59,9.575254924,564.9400405,5.957475434,0.775597239,,,,
55,485067,58,10.57313841,613.2420276,5.592535438,0.734335879,,,,
56,485068,59,7.066826309,416.9427522,6.430461953,0.837174839,,,,
57,485069,58,1.452390783,84.23866541,3.546224718,0.465642118,,,,
58,485070,59,6.981683823,411.9193456,5.219877836,0.679570211,,,,
59,485071,58,2.465066925,142.9738817,4.522492637,0.593832376,,,,
60,485072,59,0,0,0,0,,,,
61,485073,58,0,0,0,0,,,,
62,485074,58,0,0,0,0,,,,
63,485075,59,0,0,0,0,,,,
64,485076,58,0,0,0,0,,,,
65,485077,59,0,0,0,0,,,,
66,485078,58,0,0,0,0,,,,
67,485079,59,0,0,0,0,,,,
68,485080,58,0,0,0,0,,,,
69,485081,59,0,0,0,0,,,,
70,485082,52,0,0,0,0,,,,
71,485083,59,0,0,0,0,,,,
72,485084,58,0,0,0,0,,,,
73,485085,59,5.697997116,336.1818299,4.914392855,0.639799454,,,,
74,485086,58,7.628382782,442.4462014,5.599492656,0.735249406,,,,
75,485087,59,3.923103762,231.4631219,4.828899938,0.628669224,,,,
76,485088,58,8.687695326,503.8863289,5.066887839,0.665314968,,,,
77,485089,58,8.694357669,504.2727448,5.161651851,0.677758092,,,,
78,485090,59,7.865855789,464.0854916,5.466989261,0.711741378,,,,
79,485091,58,1.44572844,83.85224952,3.715942938,0.487927212,,,,
80,485092,58,8.414539261,488.0432771,5.668993589,0.744375326,,,,
81,485093,59,10.04681331,592.7619851,5.122367046,0.666875387,,,,
82,485094,58,8.028123365,465.6311552,5.996404444,0.787366478,,,,
83,485095,59,5.868282088,346.2286432,5.608644535,0.730183324,,,,
84,485096,58,0,0,0,0,,,,
85,485097,59,0,0,0,0,,,,
86,485098,58,0,0,0,0,,,,
87,485099,59,0,0,0,0,,,,
88,485100,58,0,0,0,0,,,,
89,485101,59,0,0,0,0,,,,
90,485102,58,0,0,0,0,,,,
91,485103,58,0,0,0,0,,,,
92,485104,59,0,0,0,0,,,,
93,485105,58,0,0,0,0,,,,
94,485106,59,0,0,0,0,,,,
95,485107,58,0,0,0,0,,,,
96,485108,58,0,0,0,0,,,,
97,485109,59,2.698361853,159.2033493,4.28825692,0.558283498,,,,
98,485110,58,10.15341079,588.8978261,4.921888268,0.646275591,,,,
99,485111,59,11.5662792,682.410473,4.777472642,0.621973961,,,,
100,485112,58,11.31265848,656.1341921,4.702508468,0.617469612,,,,
101,485113,59,8.422556657,496.9308428,5.957783048,0.775637287,,,,
102,485114,58,11.10612585,644.1552993,5.267305584,0.691631107,,,,
103,485115,58,4.823536362,279.765109,5.919990202,0.777332796,,,,
104,485116,59,0,0,0,0,,,,
105,485117,58,9.540475235,553.3475636,5.47872885,0.719392342,,,,
106,485118,59,9.463914751,558.3709703,5.972281473,0.777524821,,,,
107,485119,58,7.062083624,409.6008502,5.669340148,0.744420831,,,,
108,485120,58,1.212546434,70.32769314,3.590373865,0.471439185,,,,
109,485121,59,0,0,0,0,,,,
110,485122,58,0,0,0,0,,,,
111,485123,59,0,0,0,0,,,,
112,485124,58,0,0,0,0,,,,
113,485125,58,0,0,0,0,,,,
114,485126,59,0,0,0,0,,,,
115,485127,58,0,0,0,0,,,,
116,485128,59,0,0,0,0,,,,
117,485129,58,0,0,0,0,,,,
118,485130,58,0,0,0,0,,,,
119,485131,59,0,0,0,0,,,,
120,485132,58,0,0,0,0,,,,
121,485133,59,0,0,0,0,,,,
122,485134,58,4.024055197,233.3952014,4.038541219,0.530286441,,,,
123,485135,59,6.942387291,409.6008502,4.041292212,0.526131432,,,,
124,485136,58,8.294617086,481.087791,4.385088247,0.575790295,,,,
125,485137,58,8.43452629,489.2025248,4.266346087,0.560198686,,,,
126,485138,59,4.106487577,242.282767,6.008606864,0.782253984,,,,
127,485139,58,0,0,0,0,,,,
128,485140,59,7.073375731,417.3291681,5.239268819,0.682094702,,,,
129,485141,58,6.322563546,366.7086857,5.66837212,0.744293723,,,,
130,485142,58,10.79299573,625.9937522,4.562304815,0.599059971,,,,
131,485143,59,5.508063879,324.9757689,5.281523076,0.687595738,,,,
132,485144,58,7.488473578,434.3314675,5.418931771,0.711540601,,,,
133,485145,59,0,0,0,0,,,,
134,485146,58,0,0,0,0,,,,
135,485147,58,0,0,0,0,,,,
136,485148,59,0,0,0,0,,,,
137,485149,58,0,0,0,0,,,,
138,485150,58,0,0,0,0,,,,
139,485151,59,0,0,0,0,,,,
140,485152,58,0,0,0,0,,,,
141,485153,59,0,0,0,0,,,,
142,485154,58,0,0,0,0,,,,
143,485155,59,0,0,0,0,,,,
144,485156,58,0,0,0,0,,,,
145,485157,11,0,0,0,0,,,,
